resolution_minutes,fold,model,c_value,term,standardized_coefficient
1,14,m1,10,intercept,0.229107259768
1,15,m0,10,coherence_15m,0.00784564966351
1,15,m0,10,coherence_30m,0.00421755663448
1,15,m0,10,coherence_60m,0.0938526499277
1,15,m0,10,common_direction,-0.0116734607498
1,15,m0,10,intercept,0.245103892338
1,15,m1,10,coherence_15m,0.00743941975911
1,15,m1,10,coherence_30m,0.00375977459569
1,15,m1,10,coherence_60m,0.0850288495664
1,15,m1,10,common_direction,-0.0113282794506
1,15,m1,10,joint_intensity,0.0531727109564
1,15,m1,10,magnitude_balance,-0.0238559550251
1,15,m1,10,absolute_magnitude_balance,0.00127441224309
1,15,m1,10,intercept,0.245468167556
