trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
f646aa493d531656,0879361214fdad9f,1,2,cross_market,10,3,30001,22.6894035283,"[12.391672997400173, 29.77366951951597, 25.50359440483818]",False
d6064dcb91594259,0879361214fdad9f,1,2,cross_market,100,3,30001,22.6889883419,"[12.390710949679725, 29.773398015143773, 25.50356609503076]",False
7a77e35bb5a9b3e4,0879361214fdad9f,1,2,cross_market,1000,3,30001,22.685259031,"[12.382247817025664, 29.770870479877736, 25.50322859512539]",True
129d316c4fe443ce,0879361214fdad9f,1,3,nq_only,0.01,3,30780,30.7037837507,"[29.794575056173578, 25.586736383035507, 36.441973991706426]",False
18557228e54c2643,0879361214fdad9f,1,3,nq_only,0.1,3,30780,30.7037834186,"[29.79457474974272, 25.586736076756594, 36.441973610410066]",False
7e0c2b9a815b9ae3,0879361214fdad9f,1,3,nq_only,1,3,30780,30.7037800985,"[29.794571685715123, 25.58673301410497, 36.4419697975928]",False
67e843149b4ff01c,0879361214fdad9f,1,3,nq_only,10,3,30780,30.7037469157,"[29.794541073515674, 25.586702401333014, 36.44193168404776]",False
2000a9cfe4610e6a,0879361214fdad9f,1,3,nq_only,100,3,30780,30.7034169572,"[29.79423773689071, 25.58639764173806, 36.44155200572468]",False
d9f6ed32993cf966,0879361214fdad9f,1,3,nq_only,1000,3,30780,30.7002936217,"[29.791462247734845, 25.583480831149174, 36.43789551330212]",True
bb6c387cea85c7d9,0879361214fdad9f,1,3,cross_market,0.01,3,30780,30.6679694006,"[29.77369987600017, 25.503597490901463, 36.43660031635419]",False
15fe1a1e8bb1deb4,0879361214fdad9f,1,3,cross_market,0.1,3,30780,30.6679691292,"[29.773699602320605, 25.503597463147237, 36.43659981598504]",False
6c0062dee607e052,0879361214fdad9f,1,3,cross_market,1,3,30780,30.6679664156,"[29.77369686572287, 25.503597185557076, 36.43659481240283]",False
a3db4c87676a4fcf,0879361214fdad9f,1,3,cross_market,10,3,30780,30.6679392881,"[29.77366951951597, 25.50359440483818, 36.43654478750641]",False
8502c0784abd0487,0879361214fdad9f,1,3,cross_market,100,3,30780,30.6676688759,"[29.773398015143773, 25.50356609503076, 36.436045635009116]",False
f9f3a0174b879273,0879361214fdad9f,1,3,cross_market,1000,3,30780,30.6650500297,"[29.770870479877736, 25.50322859512539, 36.43117288364143]",True
0a14ee2ab1b58584,0879361214fdad9f,1,4,nq_only,0.01,3,32151,85.3846271976,"[25.586736383035507, 36.441973991706426, 181.54910992915933]",False
c18314ca770ab819,0879361214fdad9f,1,4,nq_only,0.1,3,32151,85.3846269179,"[25.586736076756594, 36.441973610410066, 181.5491097648628]",False
84e7dca9132f9799,0879361214fdad9f,1,4,nq_only,1,3,32151,85.3846241211,"[25.58673301410497, 36.4419697975928, 181.5491081220329]",False
96d8ed3423130bb0,0879361214fdad9f,1,4,nq_only,10,3,32151,85.3845961673,"[25.586702401333014, 36.44193168404776, 181.54909170726881]",False
a267f8835c4be369,0879361214fdad9f,1,4,nq_only,100,3,32151,85.3843180186,"[25.58639764173806, 36.44155200572468, 181.5489289069873]",False
f019b4867ae24897,0879361214fdad9f,1,4,nq_only,1000,3,32151,85.3816697423,"[25.583480831149174, 36.43789551330212, 181.5474297684863]",True
ac325130add7ace7,0879361214fdad9f,1,4,cross_market,0.01,3,32151,85.288324854,"[25.503597490901463, 36.43660031635419, 181.35871598071535]",True
e38f32f299498c64,0879361214fdad9f,1,4,cross_market,0.1,3,32151,85.288324904,"[25.503597463147237, 36.43659981598504, 181.35871659837102]",False
4bd1df0bb6518bfd,0879361214fdad9f,1,4,cross_market,1,3,32151,85.2883254029,"[25.503597185557076, 36.43659481240283, 181.35872277381822]",False
8c461b0d186af2aa,0879361214fdad9f,1,4,cross_market,10,3,32151,85.2883303541,"[25.50359440483818, 36.43654478750641, 181.35878441758]",False
cf9625b1a097f3fa,0879361214fdad9f,1,4,cross_market,100,3,32151,85.2883761534,"[25.50356609503076, 36.436045635009116, 181.35938999539079]",False
c0b24136364a4a2b,0879361214fdad9f,1,4,cross_market,1000,3,32151,85.2885315046,"[25.50322859512539, 36.43117288364143, 181.36454537507868]",False
e274194e7870766b,0879361214fdad9f,1,5,nq_only,0.01,3,32994,86.1536875656,"[36.441973991706426, 181.54910992915933, 32.56886276406047]",False
2ba4a145bf32fb2c,0879361214fdad9f,1,5,nq_only,0.1,3,32994,86.1536873853,"[36.441973610410066, 181.5491097648628, 32.56886276178854]",False
61a7810fff34d43c,0879361214fdad9f,1,5,nq_only,1,3,32994,86.1536855817,"[36.4419697975928, 181.5491081220329, 32.56886273902827]",False
3002fb66a2312557,0879361214fdad9f,1,5,nq_only,10,3,32994,86.1536675544,"[36.44193168404776, 181.54909170726881, 32.56886250734283]",False
372e82d9fb21d189,0879361214fdad9f,1,5,nq_only,100,3,32994,86.1534880864,"[36.44155200572468, 181.5489289069873, 32.56885978439741]",False
d21d0edbff040e68,0879361214fdad9f,1,5,nq_only,1000,3,32994,86.1517708649,"[36.43789551330212, 181.5474297684863, 32.56879405119528]",True
