resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,8,nq_only,1000,intercept,-0.0995742194953
5,8,cross_market,1000,nq_direction,0.00738888485852
5,8,cross_market,1000,nq_magnitude,0.685867033272
5,8,cross_market,1000,nq_aligned_momentum_5m,-0.513635629606
5,8,cross_market,1000,nq_aligned_momentum_15m,0.795087949824
5,8,cross_market,1000,nq_aligned_momentum_30m,-0.919103138959
5,8,cross_market,1000,nq_aligned_momentum_60m,0.846065656473
5,8,cross_market,1000,session_sin_1,-0.038110241429
5,8,cross_market,1000,session_cos_1,-0.0545886528137
5,8,cross_market,1000,session_sin_2,0.01423046006
5,8,cross_market,1000,session_cos_2,0.0979610667304
5,8,cross_market,1000,weekday_tuesday,0.106774863433
5,8,cross_market,1000,weekday_wednesday,0.213482427984
5,8,cross_market,1000,weekday_thursday,0.103133909014
5,8,cross_market,1000,weekday_friday,-0.123623051398
5,8,cross_market,1000,btc_magnitude,0.244915555799
5,8,cross_market,1000,btc_aligned_momentum_5m,-0.222256539845
5,8,cross_market,1000,btc_aligned_momentum_15m,0.0239056887666
5,8,cross_market,1000,btc_aligned_momentum_30m,0.0352399620386
5,8,cross_market,1000,btc_aligned_momentum_60m,-0.055661430797
5,8,cross_market,1000,coherence_15m,0.0437688383293
5,8,cross_market,1000,coherence_30m,-0.0309413668235
5,8,cross_market,1000,coherence_60m,0.0538952574801
5,8,cross_market,1000,joint_intensity,-0.453006550996
5,8,cross_market,1000,magnitude_balance,0.233657235649
5,8,cross_market,1000,absolute_magnitude_balance,-0.072687040206
5,8,cross_market,1000,intercept,-0.0995742194953
5,9,nq_only,1000,nq_direction,-0.00488137352194
5,9,nq_only,1000,nq_magnitude,0.376578600841
5,9,nq_only,1000,nq_aligned_momentum_5m,-0.64956547093
5,9,nq_only,1000,nq_aligned_momentum_15m,0.803746926873
5,9,nq_only,1000,nq_aligned_momentum_30m,-0.916913935235
5,9,nq_only,1000,nq_aligned_momentum_60m,0.822761174336
5,9,nq_only,1000,session_sin_1,-0.03019397076
5,9,nq_only,1000,session_cos_1,-0.0308631079916
5,9,nq_only,1000,session_sin_2,0.0373291635419
5,9,nq_only,1000,session_cos_2,0.0782787134944
5,9,nq_only,1000,weekday_tuesday,0.0999208077136
5,9,nq_only,1000,weekday_wednesday,0.212394372675
5,9,nq_only,1000,weekday_thursday,0.135035364341
5,9,nq_only,1000,weekday_friday,-0.104386695578
5,9,nq_only,1000,intercept,-0.0710842807869
5,9,cross_market,1000,nq_direction,-0.00408018551698
5,9,cross_market,1000,nq_magnitude,0.692653535477
5,9,cross_market,1000,nq_aligned_momentum_5m,-0.523858313225
5,9,cross_market,1000,nq_aligned_momentum_15m,0.788607110995
5,9,cross_market,1000,nq_aligned_momentum_30m,-0.916906521261
5,9,cross_market,1000,nq_aligned_momentum_60m,0.841994220563
5,9,cross_market,1000,session_sin_1,-0.023279511034
5,9,cross_market,1000,session_cos_1,-0.0338761084422
5,9,cross_market,1000,session_sin_2,0.0391824992368
5,9,cross_market,1000,session_cos_2,0.0770549838929
5,9,cross_market,1000,weekday_tuesday,0.100839394039
5,9,cross_market,1000,weekday_wednesday,0.217571387681
5,9,cross_market,1000,weekday_thursday,0.137092809554
5,9,cross_market,1000,weekday_friday,-0.101254197456
5,9,cross_market,1000,btc_magnitude,0.22179939009
5,9,cross_market,1000,btc_aligned_momentum_5m,-0.17706522506
5,9,cross_market,1000,btc_aligned_momentum_15m,0.0304945528759
5,9,cross_market,1000,btc_aligned_momentum_30m,0.0220354091374
5,9,cross_market,1000,btc_aligned_momentum_60m,-0.0539553905274
5,9,cross_market,1000,coherence_15m,0.0330830299187
5,9,cross_market,1000,coherence_30m,0.00384915400715
5,9,cross_market,1000,coherence_60m,0.0406534475023
5,9,cross_market,1000,joint_intensity,-0.4546199857
5,9,cross_market,1000,magnitude_balance,0.22244967348
5,9,cross_market,1000,absolute_magnitude_balance,-0.0437566740537
5,9,cross_market,1000,intercept,-0.0710842807869
5,10,nq_only,1000,nq_direction,-0.000326879453114
5,10,nq_only,1000,nq_magnitude,0.394413465841
5,10,nq_only,1000,nq_aligned_momentum_5m,-0.634474139294
5,10,nq_only,1000,nq_aligned_momentum_15m,0.785494153083
5,10,nq_only,1000,nq_aligned_momentum_30m,-0.917501243556
5,10,nq_only,1000,nq_aligned_momentum_60m,0.788540240107
5,10,nq_only,1000,session_sin_1,-0.00988989437222
5,10,nq_only,1000,session_cos_1,-0.00597229774839
5,10,nq_only,1000,session_sin_2,0.0403574143802
5,10,nq_only,1000,session_cos_2,0.0644947655248
5,10,nq_only,1000,weekday_tuesday,0.0831066213999
5,10,nq_only,1000,weekday_wednesday,0.173710150174
5,10,nq_only,1000,weekday_thursday,0.109890723405
5,10,nq_only,1000,weekday_friday,-0.12618245684
5,10,nq_only,1000,intercept,-0.0923146990842
5,10,cross_market,100,nq_direction,-0.000193192785256
5,10,cross_market,100,nq_magnitude,2.35145461257
5,10,cross_market,100,nq_aligned_momentum_5m,-1.07598691451
5,10,cross_market,100,nq_aligned_momentum_15m,1.07122856839
5,10,cross_market,100,nq_aligned_momentum_30m,-1.37222939344
5,10,cross_market,100,nq_aligned_momentum_60m,1.03892257179
5,10,cross_market,100,session_sin_1,0.0670770756279
5,10,cross_market,100,session_cos_1,0.0107253281814
5,10,cross_market,100,session_sin_2,0.0686026548591
5,10,cross_market,100,session_cos_2,0.0534643310413
5,10,cross_market,100,weekday_tuesday,0.0934910807773
5,10,cross_market,100,weekday_wednesday,0.203070229504
5,10,cross_market,100,weekday_thursday,0.105743484707
5,10,cross_market,100,weekday_friday,-0.123070391757
5,10,cross_market,100,btc_magnitude,1.05308070641
5,10,cross_market,100,btc_aligned_momentum_5m,-0.113687631455
5,10,cross_market,100,btc_aligned_momentum_15m,-0.17995828053
5,10,cross_market,100,btc_aligned_momentum_30m,0.336750524127
5,10,cross_market,100,btc_aligned_momentum_60m,-0.175343766391
5,10,cross_market,100,coherence_15m,0.0557397462213
5,10,cross_market,100,coherence_30m,-0.000306062912484
5,10,cross_market,100,coherence_60m,0.0391158547446
5,10,cross_market,100,joint_intensity,-2.22603198576
5,10,cross_market,100,magnitude_balance,0.22558716425
5,10,cross_market,100,absolute_magnitude_balance,-0.374348152081
5,10,cross_market,100,intercept,-0.0923146990842
5,11,nq_only,1000,nq_direction,-0.00964360865165
5,11,nq_only,1000,nq_magnitude,0.451267526639
5,11,nq_only,1000,nq_aligned_momentum_5m,-0.627017765715
5,11,nq_only,1000,nq_aligned_momentum_15m,0.710169305175
5,11,nq_only,1000,nq_aligned_momentum_30m,-0.885919742483
5,11,nq_only,1000,nq_aligned_momentum_60m,0.778047763721
5,11,nq_only,1000,session_sin_1,-0.0195401753999
5,11,nq_only,1000,session_cos_1,0.0298236212163
5,11,nq_only,1000,session_sin_2,0.0778153724705
5,11,nq_only,1000,session_cos_2,0.0726275224137
5,11,nq_only,1000,weekday_tuesday,0.0444053871828
5,11,nq_only,1000,weekday_wednesday,0.147516505123
5,11,nq_only,1000,weekday_thursday,0.109823972748
5,11,nq_only,1000,weekday_friday,-0.16302204869
5,11,nq_only,1000,intercept,-0.0632865781901
5,11,cross_market,1000,nq_direction,-0.00942768606144
5,11,cross_market,1000,nq_magnitude,0.769424060198
5,11,cross_market,1000,nq_aligned_momentum_5m,-0.517826114507
5,11,cross_market,1000,nq_aligned_momentum_15m,0.70789178542
5,11,cross_market,1000,nq_aligned_momentum_30m,-0.922061270716
5,11,cross_market,1000,nq_aligned_momentum_60m,0.803725604407
5,11,cross_market,1000,session_sin_1,-0.0191340154153
